ID,Timestamp,Passenger Count
16,28/12/2025,10
17,28/12/2025,5
18,28/12/2025,7
19,28/12/2025,3
20,28/12/2025,5
21,28/12/2025,2
22,28/12/2025,3
23,28/12/2025,2
24,28/12/2025,5
25,28/12/2025,4
26,28/12/2025,3
27,28/12/2025,3
28,28/12/2025,3
29,28/12/2025,6
30,28/12/2025,2
31,28/12/2025,3
32,28/12/2025,2
33,28/12/2025,1
34,28/12/2025,2
35,28/12/2025,2
36,28/12/2025,2
37,28/12/2025,1
38,28/12/2025,2
39,28/12/2025,3
40,28/12/2025,4
41,28/12/2025,3
42,28/12/2025,4
43,28/12/2025,5
44,28/12/2025,5
45,28/12/2025,5
46,28/12/2025,4
47,28/12/2025,3
48,28/12/2025,4
49,28/12/2025,2
50,28/12/2025,4
51,28/12/2025,4
52,28/12/2025,4
53,28/12/2025,5
54,28/12/2025,5
55,28/12/2025,7
56,28/12/2025,7
57,28/12/2025,6
58,28/12/2025,5
59,28/12/2025,5
60,28/12/2025,6
61,28/12/2025,4
62,28/12/2025,8
63,28/12/2025,7
64,28/12/2025,7
65,28/12/2025,8
66,28/12/2025,7
67,28/12/2025,4
68,28/12/2025,6
69,28/12/2025,9
70,28/12/2025,5
71,28/12/2025,6
72,28/12/2025,4
73,28/12/2025,5
74,28/12/2025,7
75,28/12/2025,6
76,28/12/2025,7
77,28/12/2025,3
78,28/12/2025,4
79,28/12/2025,5
80,28/12/2025,5
81,28/12/2025,2
82,28/12/2025,7
83,28/12/2025,6
84,28/12/2025,4
85,28/12/2025,8
86,28/12/2025,10
87,28/12/2025,6
88,28/12/2025,5
89,28/12/2025,4
90,28/12/2025,7
91,28/12/2025,5
92,28/12/2025,6
93,28/12/2025,9
94,28/12/2025,6
95,28/12/2025,7
96,28/12/2025,6
97,28/12/2025,9
98,28/12/2025,5
99,28/12/2025,5
100,28/12/2025,7
101,28/12/2025,4
102,28/12/2025,4
103,28/12/2025,4
104,28/12/2025,2
105,28/12/2025,2
106,28/12/2025,6
107,28/12/2025,4
108,28/12/2025,4
109,28/12/2025,5
110,28/12/2025,7
111,28/12/2025,4
112,28/12/2025,2
113,28/12/2025,3
114,28/12/2025,5
115,28/12/2025,3
116,28/12/2025,5
117,28/12/2025,5
118,28/12/2025,3
119,28/12/2025,2
120,28/12/2025,5
121,28/12/2025,7
122,28/12/2025,5
123,28/12/2025,6
124,28/12/2025,2
125,28/12/2025,3
126,28/12/2025,5
127,28/12/2025,4
128,28/12/2025,7
129,28/12/2025,5
130,28/12/2025,6
131,28/12/2025,3
132,28/12/2025,4
133,28/12/2025,5
134,28/12/2025,4
135,28/12/2025,7
136,28/12/2025,8
137,28/12/2025,5
138,28/12/2025,6
139,28/12/2025,8
140,28/12/2025,7
141,28/12/2025,7
142,28/12/2025,5
143,28/12/2025,5
144,28/12/2025,4
145,28/12/2025,5
146,28/12/2025,5
147,28/12/2025,4
148,28/12/2025,5
149,28/12/2025,8
150,28/12/2025,4
151,28/12/2025,5
152,28/12/2025,7
153,28/12/2025,9
154,28/12/2025,6
155,28/12/2025,4
156,28/12/2025,4
157,28/12/2025,2
158,28/12/2025,5
159,28/12/2025,4
160,28/12/2025,3
161,28/12/2025,2
162,28/12/2025,5
163,28/12/2025,5
164,28/12/2025,3
165,28/12/2025,5
166,28/12/2025,4
167,28/12/2025,5
168,28/12/2025,5
169,28/12/2025,4
170,28/12/2025,7
171,28/12/2025,7
172,28/12/2025,7
173,28/12/2025,2
174,28/12/2025,1
175,28/12/2025,2
176,28/12/2025,2
177,28/12/2025,5
178,28/12/2025,3
179,28/12/2025,3
180,28/12/2025,2
181,28/12/2025,3
182,28/12/2025,3
183,28/12/2025,3
184,28/12/2025,2
185,28/12/2025,2
186,28/12/2025,2
187,28/12/2025,3
188,28/12/2025,5
189,28/12/2025,5
190,28/12/2025,2
191,28/12/2025,3
192,28/12/2025,3
193,28/12/2025,2
194,28/12/2025,3
195,28/12/2025,5
196,28/12/2025,5
197,28/12/2025,3
198,28/12/2025,5
199,28/12/2025,4
200,28/12/2025,3
201,28/12/2025,3
202,28/12/2025,5
203,28/12/2025,5
204,28/12/2025,6
205,28/12/2025,8
206,28/12/2025,5
207,28/12/2025,4
208,28/12/2025,6
209,28/12/2025,5
210,28/12/2025,4
211,28/12/2025,5
212,28/12/2025,5
213,28/12/2025,5
214,28/12/2025,3
215,28/12/2025,3
216,28/12/2025,3
217,28/12/2025,4
218,28/12/2025,4
219,28/12/2025,4
220,28/12/2025,7
221,28/12/2025,4
222,28/12/2025,7
223,28/12/2025,5
224,28/12/2025,5
225,28/12/2025,6
226,28/12/2025,4
227,28/12/2025,4
228,28/12/2025,6
229,28/12/2025,6
230,28/12/2025,6
231,28/12/2025,5
232,28/12/2025,5
233,28/12/2025,10
234,28/12/2025,4
235,28/12/2025,4
236,28/12/2025,2
237,28/12/2025,4
238,28/12/2025,1
239,28/12/2025,2
240,28/12/2025,1
241,28/12/2025,1
242,28/12/2025,1
243,28/12/2025,2
244,28/12/2025,2
245,28/12/2025,2
246,28/12/2025,2
247,28/12/2025,2
248,28/12/2025,3
249,28/12/2025,2
250,28/12/2025,2
251,28/12/2025,2
252,28/12/2025,1
253,28/12/2025,3
254,28/12/2025,3
255,28/12/2025,2
256,28/12/2025,3
257,28/12/2025,1
258,28/12/2025,5
259,28/12/2025,5
260,28/12/2025,3
261,28/12/2025,3
262,28/12/2025,1
263,28/12/2025,4
264,28/12/2025,3
265,28/12/2025,3
266,28/12/2025,5
267,28/12/2025,2
268,28/12/2025,5
269,28/12/2025,3
270,28/12/2025,3
271,28/12/2025,5
272,28/12/2025,5
273,28/12/2025,6
274,28/12/2025,4
275,28/12/2025,5
276,28/12/2025,4
277,28/12/2025,4
278,28/12/2025,4
279,28/12/2025,5
280,28/12/2025,6
281,28/12/2025,5
282,28/12/2025,6
283,28/12/2025,5
284,28/12/2025,2
285,28/12/2025,3
286,28/12/2025,4
287,28/12/2025,4
288,28/12/2025,1
289,28/12/2025,5
290,28/12/2025,5
291,28/12/2025,3
292,28/12/2025,2
293,28/12/2025,3
294,28/12/2025,3
295,28/12/2025,4
296,28/12/2025,3
297,28/12/2025,5
298,28/12/2025,5
299,28/12/2025,3
300,28/12/2025,6
301,28/12/2025,4
302,28/12/2025,3
303,28/12/2025,5
304,28/12/2025,3
305,28/12/2025,5
306,28/12/2025,4
307,28/12/2025,4
308,28/12/2025,4
309,28/12/2025,4
310,28/12/2025,3
311,28/12/2025,5
312,28/12/2025,4
313,28/12/2025,8
314,28/12/2025,3
315,28/12/2025,5
316,28/12/2025,6
317,28/12/2025,4
318,28/12/2025,5
319,28/12/2025,6
320,28/12/2025,4
321,28/12/2025,6
322,28/12/2025,5
323,28/12/2025,4
324,28/12/2025,3
325,28/12/2025,3
326,28/12/2025,6
327,28/12/2025,5
328,28/12/2025,7
329,28/12/2025,5
330,28/12/2025,5
331,28/12/2025,4
332,28/12/2025,3
333,28/12/2025,4
334,28/12/2025,5
335,28/12/2025,6
336,28/12/2025,2
337,28/12/2025,4
338,28/12/2025,4
339,28/12/2025,3
340,28/12/2025,5
341,28/12/2025,4
342,28/12/2025,8
343,28/12/2025,6
344,28/12/2025,8
345,28/12/2025,8
346,28/12/2025,4
347,28/12/2025,6
348,28/12/2025,7
349,28/12/2025,5
350,28/12/2025,5
351,28/12/2025,5
352,28/12/2025,8
353,28/12/2025,10
354,28/12/2025,6
355,28/12/2025,3
356,28/12/2025,7
357,28/12/2025,9
358,28/12/2025,3
359,28/12/2025,5
360,28/12/2025,5
361,28/12/2025,5
362,28/12/2025,5
363,28/12/2025,4
364,28/12/2025,5
365,28/12/2025,7
366,28/12/2025,10
367,28/12/2025,3
368,28/12/2025,5
369,28/12/2025,5
370,28/12/2025,2
371,28/12/2025,8
372,28/12/2025,7
373,28/12/2025,8
374,28/12/2025,5
375,28/12/2025,8
376,28/12/2025,7
377,28/12/2025,8
378,28/12/2025,7
379,28/12/2025,5
380,28/12/2025,4
381,28/12/2025,3
382,28/12/2025,5
383,28/12/2025,5
384,28/12/2025,7
385,28/12/2025,6
386,28/12/2025,5
387,28/12/2025,5
388,28/12/2025,6
389,28/12/2025,5
390,28/12/2025,4
391,28/12/2025,3
392,28/12/2025,4
393,28/12/2025,4
394,28/12/2025,6
395,28/12/2025,4
396,28/12/2025,5
397,28/12/2025,4
398,28/12/2025,5
399,28/12/2025,3
400,28/12/2025,6
401,28/12/2025,1
402,28/12/2025,3
403,28/12/2025,4
404,28/12/2025,3
405,28/12/2025,4
406,28/12/2025,4
407,28/12/2025,4
408,28/12/2025,4
409,28/12/2025,4
410,28/12/2025,4
411,28/12/2025,4
412,28/12/2025,4
413,28/12/2025,5
414,28/12/2025,6
415,28/12/2025,7
416,28/12/2025,5
417,28/12/2025,4
418,28/12/2025,2
419,28/12/2025,6
420,28/12/2025,4
421,28/12/2025,6
422,28/12/2025,5
423,28/12/2025,4
424,28/12/2025,7
425,28/12/2025,7
426,28/12/2025,5
427,28/12/2025,6
428,28/12/2025,4
429,28/12/2025,4
430,28/12/2025,5
431,28/12/2025,5
432,28/12/2025,4
433,28/12/2025,7
434,28/12/2025,5
435,28/12/2025,6
436,28/12/2025,5
437,28/12/2025,3
438,28/12/2025,5
439,28/12/2025,3
440,28/12/2025,7
441,28/12/2025,4
442,28/12/2025,3
443,28/12/2025,4
444,28/12/2025,6
445,28/12/2025,3
446,28/12/2025,5
447,28/12/2025,3
448,28/12/2025,4
449,28/12/2025,4
450,28/12/2025,4
451,28/12/2025,6
452,28/12/2025,7
453,28/12/2025,6
